t,market_id,market_name,district_name,variety,p_min,p_max,p_modal,clean_market,match_score,latitude,longitude,t2m_mean,t2m_max,t2m_min,d2m_mean,precip_sum_mm,wind_speed_mean
2020-12-25,246,Nabha,Patiala,Other,1300.0,2500.0,1600,NABHA,100.0,30.3738,76.1394,12.142959594726562,16.87152099609375,6.839111328125,8.712455749511719,0.0033572306856513023,2.347442150115967
2020-12-25,624,Patti,Tarn Taran,Other,2500.0,3000.0,2800,PATTI,100.0,31.2737,74.8493,11.269424438476562,16.734771728515625,5.428955078125,8.537162780761719,0.027035176753997803,1.1303516626358032
2020-12-25,640,Phagwara,Kapurthala,Other,1700.0,2150.0,2082,PHAGWARA,100.0,31.2354,75.7756,11.127334594726562,15.430084228515625,5.151611328125,8.556694030761719,0.0067025418393313885,1.9474549293518066
2020-12-25,1610,Rajpura,Patiala,Local,1800.0,2200.0,2000,RAJPURA,100.0,30.4642,76.577,12.259658813476562,17.00823974609375,6.772705078125,8.932670593261719,0.002157687209546566,2.6050240993499756
2020-12-25,631,Raman,Bathinda,Other,1800.0,2100.0,2000,RAMAN,100.0,29.9602,74.9686,13.352920532226562,18.73284912109375,6.759033203125,7.736869812011719,0.002157687209546566,1.8168330192565918
2020-12-25,1600,Sahnewal,Ludhiana,Onion,1900.0,2000.0,2000,SAHNEWAL,100.0,30.8526,75.9881,11.582901000976562,16.13128662109375,5.626220703125,8.828178405761719,0.002157687209546566,2.2543585300445557
2020-12-25,245,Samana,Patiala,Other,2500.0,3000.0,2700,SAMANA,100.0,30.1477,76.1893,12.507217407226562,17.43597412109375,7.108642578125,8.419486999511719,0.002157687209546566,2.4477031230926514
2020-12-25,639,Samrala,Ludhiana,Other,1800.0,2200.0,2000,SAMRALA,100.0,30.8269,76.186,11.930557250976562,16.24456787109375,6.731689453125,9.152397155761719,0.0028282394632697105,2.4451992511749268
2020-12-25,1759,Sangrur,Sangrur,Onion,1700.0,1700.0,1700,SANGRUR,100.0,30.2439,75.835,12.608779907226562,17.42425537109375,7.311767578125,8.479057312011719,0.002157687209546566,2.386727809906006
2020-12-25,1733,Talwandi Sabo,Bathinda,Other,2500.0,2700.0,2600,TALWANDI SABO,100.0,29.9834,75.0996,13.262100219726562,18.60589599609375,6.766845703125,7.797416687011719,0.002157687209546566,1.8586111068725586
2020-12-25,227,Tarantaran,Tarn Taran,Other,2000.0,2500.0,2200,TARANTARAN,90.0,31.4623,74.9342,10.886123657226562,16.230865478515625,5.768798828125,8.315483093261719,0.031751394271850586,1.247260332107544
2020-12-25,1581,Zira,Firozpur,Local,2000.0,2500.0,2300,ZIRA,100.0,30.5738,74.5901,13.695205688476562,17.662506103515625,8.448486328125,8.872123718261719,0.0031709661707282066,1.2377160787582397
2020-12-26,232,Abohar,Firozpur,Onion,1400.0,2200.0,2110,ABOHAR,100.0,30.155,74.1948,13.791976928710938,18.778594970703125,8.865875244140625,7.466529846191406,0.001722573535516858,1.0719479322433472
2020-12-26,1589,Adampur,Jalandhar,Other,2000.0,2500.0,2500,ADAMPUR,100.0,31.4254,75.72,11.026351928710938,15.761016845703125,5.742828369140625,7.896217346191406,0.00701248599216342,1.4015599489212036
2020-12-26,247,Barnala,Barnala,Other,1500.0,2000.0,1750,BARNALA,100.0,30.3732,75.5351,12.075668334960938,16.896514892578125,6.334625244140625,7.786842346191406,0.001722573535516858,1.618781566619873
2020-12-26,629,Bathinda,Bathinda,Other,1500.0,2000.0,1800,BATHINDA,87.5,30.1962,74.9437,12.958480834960938,18.268829345703125,6.393218994140625,7.219947814941406,0.001722573535516858,1.4176433086395264
2020-12-26,1574,Bhucho,Bathinda,Other,3000.0,3200.0,3100,BHUCHO,100.0,30.2109,75.0942,12.705551147460938,17.927032470703125,5.805328369140625,7.219947814941406,0.001722573535516858,1.511502981185913
2020-12-26,641,Budalada,Mansa,Other,2000.0,2500.0,2200,BUDALADA,87.5,29.9244,75.5484,13.285140991210938,17.848907470703125,5.975250244140625,7.371315002441406,0.001722573535516858,1.5482890605926514
2020-12-26,1586,Dasuya,Hoshiarpur,Other,2000.0,2500.0,2250,DASUYA,100.0,31.8056,75.6626,11.564437866210938,15.423126220703125,5.940093994140625,8.400611877441406,0.0045090909115970135,1.2032272815704346
2020-12-26,1751,Dera Bassi,Sahibzada Ajit Singh Nagar,Other,2000.0,2200.0,2100,DERA BASSI,100.0,30.6815,75.0867,12.083480834960938,17.126251220703125,5.543609619140625,7.634498596191406,0.003316998016089201,1.3808271884918213
2020-12-26,1602,Dharamkot,Moga,Other,2000.0,2500.0,2000,DHARAMKOT,100.0,30.9381,75.2304,11.576156616210938,16.696563720703125,5.080718994140625,7.757057189941406,0.004687904845923185,1.2510173320770264
